Empresa
ACE SCHMERSAL ELETRÔNICA INDUSTRIAL LTDA;
CELLERA FARMACEUTICA S.A.;
EUCATEX IND E COM LTDA;
FLASH IND E COM DE PROD E SIST ELETROELETRONICOS;
HAVER & BOECKER LATINOAMERICANA;
HINE DO BRASIL;
INDUCTOTHERM GROUP BRASIL LTDA;
KANJIKO DO BRASIL IND AUTOMOTIVA;
KION SOUTH AMERICA FAB. EQUIP. ARMAZENAGEM LTDA;
LEMASA - COMET DO BRASIL IND E COM;
LENOVO TECNOLOGIA BRASIL LTDA;
MANN HUMMEL BRASIL LTDA;
PLASTEK DO BRASIL IND COM LTDA;
RIP SERVIÇOS INDUSTRIAIS LTDA;
ROBIEL IND. E COM. DE AUTO PEÇAS LTDA;
SCHOTT FLAT GLASS DO BRASIL LTDA;
STARRETT INDÚSTRIA E COMÉRCIO LTDA;
TMD FRICTION DO BRASIL S.A.;
VENTILADORES BERNAUER S.A;
WOLF EQUIPAMENTOS DE PERFURAÇÃO LTDA;
Toyota;
Honda;
John Deere;
General Motors (campo de provas);
Basf;
Unilever;
SEW Eurodrive;
Mann+Hummel (Filtros Mann);
Yanmar e Agritech Lavrale;
Eucatex;
